"","r_mf_9a_6p","r_mf_6p_10","r_sa_9a_6p","r_sa_6p_10","r_su_9a_6p","r_su_6p_10","t_mf_9a_6p","t_mf_6p_10","t_sa_9a_6p","t_sa_6p_10","t_su_9a_6p","t_su_6p_10","credit_card","longitude","latitude","geo_local_area","avg_rate","avg_time","rate_level","time_level"
"1",2,4,2,4,2,4,2,4,2,4,2,4,"No",-123.128870823719,49.2869006300179,"West End",3,3,"low","very low"
"2",1,1,1,1,1,1,10,10,10,10,10,10,"Yes",-123.098183432967,49.2721460029592,"Strathcona",1,10,"very low","moderate"
"3",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101308103952,49.2546794997562,"Riley Park",1,3,"very low","very low"
"4",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.186227609322,49.2634085450668,"West Point Grey",1,3,"very low","very low"
"5",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.127839653363,49.2635409102067,"Fairview",1.5,3,"very low","very low"
"6",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.126473301481,49.2743120144046,"Downtown",1.5,3.5,"very low","very low"
"7",2,3,2,3,2,3,2,4,2,4,2,4,"No",-123.119687937338,49.2777081789249,"Downtown",2.5,3,"low","very low"
"8",2,3,2,3,2,3,2,4,2,4,2,4,"No",-123.11981205155,49.2776255734511,"Downtown",2.5,3,"low","very low"
"9",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.138851266235,49.2654018311992,"Fairview",2.5,3,"low","very low"
"10",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.127057872549,49.2739356799517,"Downtown",1.5,3.5,"very low","very low"
"11",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.12685181837,49.2740617130863,"Downtown",1.5,3.5,"very low","very low"
"12",2,1,2,1,2,1,3,4,3,4,3,4,"No",-123.126956344388,49.2739988208511,"Downtown",1.5,3.5,"very low","very low"
"13",2,4,2,4,2,4,2,4,2,4,2,4,"Yes",-123.124947797033,49.2844339916564,"West End",3,3,"low","very low"
"14",1,2,1,2,1,2,2,4,2,4,2,4,"No",-123.115268500264,49.255258102595,"South Cambie",1.5,3,"very low","very low"
"15",1,1,1,1,1,1,2,4,2,4,2,4,"Yes",-123.100259768901,49.2548481570966,"Riley Park",1,3,"very low","very low"
"16",4,3,4,3,4,3,2,4,2,4,2,4,"No",-123.147563961626,49.2706349647373,"Kitsilano",3.5,3,"low","very low"
"17",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.131261197318,49.2638426589592,"Fairview",2.5,3,"low","very low"
"18",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.131265703966,49.2637280549034,"Fairview",2.5,3,"low","very low"
"19",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.131428255466,49.2638653168758,"Fairview",2.5,3,"low","very low"
"20",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.13013141852,49.2644307841896,"Fairview",1,3,"very low","very low"
"21",5,1,5,1,5,1,2,4,2,4,2,4,"No",-123.118992941183,49.2633762307293,"Fairview",3,3,"low","very low"
"22",2,1,2,1,2,1,2,4,2,4,2,4,"No",-123.137156764295,49.2636897916323,"Fairview",1.5,3,"very low","very low"
"23",3,2,3,2,3,2,2,4,2,4,2,4,"No",-123.12500661394,49.2793232545401,"Downtown",2.5,3,"low","very low"
"24",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.153942826425,49.2637511947858,"Kitsilano",2,3,"low","very low"
"25",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.154731737041,49.2637669530165,"Kitsilano",2,3,"low","very low"
"26",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.139379524226,49.2653159206199,"Fairview",2.5,3,"low","very low"
"27",4,1,4,1,4,1,2,4,2,4,2,4,"No",-123.139868323194,49.2653241452419,"Fairview",2.5,3,"low","very low"
"28",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.138649876934,49.2647067436706,"Fairview",1,3,"very low","very low"
"29",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101116714141,49.2559495404397,"Riley Park",1,3,"very low","very low"
"30",1,1,1,1,1,1,2,4,2,4,2,4,"No",-123.101273533217,49.2595178948138,"Mount Pleasant",1,3,"very low","very low"
"31",1,1,1,1,1,1,3,4,3,4,3,4,"No",-123.143896216264,49.2680754192559,"Fairview",1,3.5,"very low","very low"
"32",3,6,3,6,3,6,2,4,2,4,2,4,"No",-123.137350404124,49.2902991494964,"West End",4.5,3,"moderate","very low"
"33",3,1,3,1,3,1,2,4,2,4,2,4,"No",-123.106572125134,49.2671370700903,"Mount Pleasant",2,3,"low","very low"
"34",4,3,4,3,4,3,2,4,2,4,2,4,"No",-123.146034941014,49.2707318966323,"Kitsilano",3.5,3,"low","very low"
"35",7,5,7,5,7,5,2,4,2,4,2,4,"Yes",-123.119489926633,49.2882228364408,"Downtown",6,3,"high","very low"
"36",3,4,3,4,3,4,2,4,2,4,2,4,"No",-123.069458155316,49.2728302904814,"Grandview-Woodland",3.5,3,"low","very low"
"37",3,4,3,4,3,4,2,4,2,4,2,4,"No",-123.069460760332,49.2726980596172,"Grandview-Woodland",3.5,3,"low","very low"
"38",3,4,3,4,3,4,2,4,2,4,2,4,"No",-123.069466699652,49.2723557980349,"Grandview-Woodland",3.5,3,"low","very low"
